run_id,observation_id,utc_timestamp,mechanism,scenario,repetition,concurrency_level,uav_id,expected_outcome,observed_outcome,expectation_met,decision_latency_ns,decision_latency_ms,challenge_generation_ns,identity_lookup_ns,certificate_validation_ns,contract_call_ns,signature_verification_ns,authorisation_check_ns,audit_submission_ns,audit_confirmation_ns,tx_hash,block_number,gas_used,timeout_error_class,worker_id,payload_size,warmup,request_bytes,response_bytes,notes
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_5f2c203424c04dc187981a39fe1cbc47,2026-08-24T23:41:15.832816+00:00,x509,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3861800,3.8618,91700,201900,3059200,0,396300,8800,0,0,,,,none,x509-valid_active_0,0,true,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_084b0db66dbc4125b4baeb8bad6eac43,2026-08-24T23:41:15.854168+00:00,x509,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,true,5453700,5.4537,69700,161500,4705700,0,357800,9800,0,0,,,,none,x509-valid_active_0,0,true,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_46d7a68fdc904f8d8f514b8aebaa909a,2026-08-24T23:41:15.883760+00:00,x509,valid_active,0,1,UAV-VALID,ACCEPTED,ACCEPTED,true,7752400,7.7524,195900,180600,6928300,0,372200,25500,0,0,,,,none,x509-valid_active_0,0,false,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_d4fb58975a9b49aeaabfa779da76e6b5,2026-08-24T23:41:15.935745+00:00,x509,valid_active,1,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4485800,4.4858,84100,211000,3342000,0,354600,10000,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_9a9039baf46f4e838b02f3329005404b,2026-08-24T23:41:15.973061+00:00,x509,valid_active,2,1,UAV-VALID,ACCEPTED,ACCEPTED,true,8839100,8.8391,211800,256400,6583400,0,1220100,18500,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_0b14fe6a2b254e03bc59da37c1bc985a,2026-08-24T23:41:16.001210+00:00,x509,valid_active,3,1,UAV-VALID,ACCEPTED,ACCEPTED,true,7221900,7.2219,320300,305700,5698900,0,399200,10600,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_09caafc00e8642118aa94bc168b48140,2026-08-24T23:41:16.031250+00:00,x509,valid_active,4,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4217200,4.2172,82300,149600,3210000,0,599100,11100,0,0,,,,none,x509-valid_active_0,0,false,237,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_0e2e4b1963e34c03b7399b72e41baca1,2026-08-24T23:41:16.056596+00:00,x509,valid_active,5,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4902100,4.9021,84100,169300,4118000,0,362500,10300,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_098bcc257fa14123837e421e87413679,2026-08-24T23:41:16.085914+00:00,x509,valid_active,6,1,UAV-VALID,ACCEPTED,ACCEPTED,true,5704100,5.7041,75200,169000,4482600,0,385400,9900,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_df5c1a2852a0464e85e30140a86f3d04,2026-08-24T23:41:16.107162+00:00,x509,valid_active,7,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3901800,3.9018,128500,171500,3137600,0,357500,10400,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_01fe6671e0324fa4b33f450f40cc5699,2026-08-24T23:41:16.125767+00:00,x509,valid_active,8,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3881300,3.8813,78500,174700,3028800,0,432900,12800,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_b8173ede00fc419fba3de6b9289f8b0e,2026-08-24T23:41:16.147547+00:00,x509,valid_active,9,1,UAV-VALID,ACCEPTED,ACCEPTED,true,5049600,5.0496,69900,132100,4029800,0,560000,13600,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_197135992ae948d980a91a304677f1c1,2026-08-24T23:41:16.166986+00:00,x509,valid_active,10,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3899900,3.8999,80400,225000,2964900,0,315700,9500,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_73de115fd27e4971a92f431ff48e546a,2026-08-24T23:41:16.186762+00:00,x509,valid_active,11,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3019600,3.0196,84600,112700,2371800,0,337400,8200,0,0,,,,none,x509-valid_active_0,0,false,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_4f62dcd9c382466caa23092cc20572d0,2026-08-24T23:41:16.206122+00:00,x509,valid_active,12,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3921000,3.921,67600,154900,3146600,0,358000,9100,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_8cb5b0a4c71444c381ccaf3c5734e7be,2026-08-24T23:41:16.224738+00:00,x509,valid_active,13,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4580200,4.5802,67900,103600,3899000,0,363200,10900,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_6e9ef9ce63354ff6a924e68dc1853d25,2026-08-24T23:41:16.246024+00:00,x509,valid_active,14,1,UAV-VALID,ACCEPTED,ACCEPTED,true,5706600,5.7066,120000,190900,4993000,0,271800,7400,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_f55b53c7f6f74b15b19af81db2f31220,2026-08-24T23:41:16.264652+00:00,x509,valid_active,15,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3785600,3.7856,77600,172400,3086600,0,301700,10200,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_d398252d86ab4641aa69a1c0cc5aac6b,2026-08-24T23:41:16.284710+00:00,x509,valid_active,16,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4982100,4.9821,68700,150000,4055200,0,474500,12200,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_54a43beca1dc4ae3bba86d93a5ff7225,2026-08-24T23:41:16.303234+00:00,x509,valid_active,17,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3690400,3.6904,71200,119200,3028600,0,343900,9700,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_3017a9b948dc4cdca284584b29a2086b,2026-08-24T23:41:16.360839+00:00,x509,valid_active,18,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4202800,4.2028,80300,191900,3424000,0,359000,9000,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_5aaccf2362a44272b1b948e585f63b31,2026-08-24T23:41:16.382071+00:00,x509,valid_active,19,1,UAV-VALID,ACCEPTED,ACCEPTED,true,6815200,6.8152,75500,161800,6117300,0,325900,8100,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_548a96d5af974d9d867743ca9b64b698,2026-08-24T23:41:16.401767+00:00,x509,valid_active,20,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4496400,4.4964,81200,282900,3294900,0,355500,10100,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_b46289d214774f24812813b914e2f909,2026-08-24T23:41:16.420475+00:00,x509,valid_active,21,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3913400,3.9134,84500,149500,3226700,0,328900,10000,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_da25b81d1422467294ed76b20962ed41,2026-08-24T23:41:16.438488+00:00,x509,valid_active,22,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4080400,4.0804,134400,152400,2836800,0,858100,10200,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_aa404dde8b9e489f87559afbfd667bfb,2026-08-24T23:41:16.463700+00:00,x509,valid_active,23,1,UAV-VALID,ACCEPTED,ACCEPTED,true,7821100,7.8211,77100,197600,6807900,0,378900,11700,0,0,,,,none,x509-valid_active_0,0,false,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_23b0a6a930434120be41e87c7c439b74,2026-08-24T23:41:16.483273+00:00,x509,valid_active,24,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4703000,4.703,77200,166500,3961600,0,332800,9200,0,0,,,,none,x509-valid_active_0,0,false,240,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_6677977be11344cebdcbf331ba08040b,2026-08-24T23:41:16.503776+00:00,x509,valid_active,25,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3492700,3.4927,77300,113600,2746900,0,398900,11200,0,0,,,,none,x509-valid_active_0,0,false,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_3d58476b530d4b8aa3b2af56d0874362,2026-08-24T23:41:16.520932+00:00,x509,valid_active,26,1,UAV-VALID,ACCEPTED,ACCEPTED,true,3598000,3.598,71700,155300,2738400,0,428400,14100,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_d38b7408a5214069a5397019759f4e7f,2026-08-24T23:41:16.542286+00:00,x509,valid_active,27,1,UAV-VALID,ACCEPTED,ACCEPTED,true,7543900,7.5439,76000,158300,6754000,0,387400,11400,0,0,,,,none,x509-valid_active_0,0,false,239,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_aac187e012bf49a1b24b328105006043,2026-08-24T23:41:16.560290+00:00,x509,valid_active,28,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4313800,4.3138,101000,379700,3334300,0,366600,11400,0,0,,,,none,x509-valid_active_0,0,false,238,8,
n10-identities_c1-conc_mech-x509-1backend_valid-active_r30_audit-off_20260824T234054Z,obs_99a79e2672c44391a39193a7930ad60f,2026-08-24T23:41:16.581939+00:00,x509,valid_active,29,1,UAV-VALID,ACCEPTED,ACCEPTED,true,4812200,4.8122,68100,166100,3967800,0,357000,11300,0,0,,,,none,x509-valid_active_0,0,false,240,8,
